City;CODIGO;production_value;soy_production;average_yield;number_of_establishments
Sertão Santana;4320552;404;348;1.74;13
Sete de Setembro;4320578;19972;16643;2.225;232
Severiano de Almeida;4320602;16791;14190;3.3;167
Silveira Martins;4320651;15855;12600;4.2;208
Sinimbu;4320677;3942;3080;2.8;18
Sobradinho;4320701;7889;8050;3.5;177
Soledade;4320800;152151;126000;3.6;599
Tapejara;4320909;71136;59280;3.9;549
Tapera;4321006;61716;50592;3.72;282
Tapes;4321105;27299;23625;2.1;49
Taquara;4321204;13;12;2.4;2
Taquari;4321303;520;400;2;5
Taquaruçu do Sul;4321329;9240;7896;3.01374045801527;128
Tavares;4321352;593;456;2.28;1
Tenente Portela;4321402;36450;40500;3;327
Teutônia;4321451;2007;1650;3.3;52
Tio Hugo;4321469;34697;29200;4;228
Tiradentes do Sul;4321477;12636;14040;2.7;341
Toropi;4321493;8005;6387;2.81986754966887;97
Tramandaí;4321600;9;9;1.8;0
Travesseiro;4321626;378;317;2.88181818181818;25
Três Arroios;4321634;13632;11520;3.6;231
Três Coroas;4321709;2;2;2;1
Três de Maio;4321808;102773;85877;3.29991546264986;886
Três Palmeiras;4321857;34935;30600;3.6;174
Três Passos;4321907;27216;30240;3.36;393
Trindade do Sul;4321956;45450;39000;3;319
Triunfo;4322004;2925;2250;2.25;7
Tucunduva;4322103;39493;33000;3;413
Tunas;4322152;16758;17100;3;158
Tupanci do Sul;4322186;21715;18096;3.48;246
Tupanciretã;4322202;593392;477910;3.20529845741113;832
Tuparendi;4322301;50982;42600;3;606
Turuçu;4322327;17697;13613;2.47509090909091;70
Ubiretama;4322343;18310;15300;3;404
União da Serra;4322350;12258;10800;3.6;142
Unistalda;4322376;29054;23220;2.7;25
Uruguaiana;4322400;3526;2748;3;8
Vacaria;4322509;230384;187000;3.4;208
Vale do Sol;4322533;2304;1800;3;64
Vale Verde;4322525;20880;18000;3;47
Vanini;4322558;6708;5600;3.5;199
Venâncio Aires;4322608;14132;11256;3.36;149
Vera Cruz;4322707;2273;1800;3;88
Veranópolis;4322806;1491;1260;3.6;55
Vespasiano Correa;4322855;7915;6864;3.3;148
Viadutos;4322905;40020;34800;3.48;394
Viamão;4323002;1772;1567;2.51929260450161;7
Vicente Dutra;4323101;12047;10260;2.7;188
Victor Graeff;4323200;67374;56700;3.78;484
Vila Flores;4323309;2023;1710;3.8;70
Vila Lângaro;4323358;44337;38025;3.9;350
Vila Maria;4323408;34663;31200;3.9;427
Vila Nova do Sul;4323457;27072;21600;1.8;54
Vista Alegre;4323507;4749;4050;2.7;60
Vista Alegre do Prata;4323606;5754;5070;3.9;98
Vista Gaúcha;4323705;8505;9450;2.7;79
Vitória das Missões;4323754;43243;36036;3.00801335559265;310
Westfalia;4323770;236;204;2.55;5
