City,CODIGO,production_value,soy_production,average_yield,number_of_establishments
Igrejinha,4310108,73,69,2.3,5
Ijuí,4310207,127684,124836,3.38758785378959,1235
Ilópolis,4310306,180,181,3.48076923076923,7
Imigrante,4310363,385,387,3.42477876106195,21
Independência,4310405,61503,60548,3.34611771207516,692
Inhacorá,4310413,21615,21338,3.40156225091663,168
Ipiranga do Sul,4310462,46783,42539,3.97041254433452,370
Ipê,4310439,31267,28284,3.32518222431225,72
Iraí,4310504,8456,8346,2.87001375515818,183
Itaara,4310538,13217,12036,3.69769585253456,35
Itacurubi,4310553,19284,19199,2.66726868574604,61
Itapuca,4310579,15410,14969,3.34802057705211,199
Itaqui,4310603,58313,56117,3.01380236305048,41
Itatiba do Sul,4310702,1917,1791,3.41793893129771,59
Ivorá,4310751,8408,8246,3.37397708674304,247
Jaboticaba,4310850,15404,14811,3.07537375415282,227
Jacuizinho,4310876,49824,49390,3.30566896459407,192
Jacutinga,4310900,38917,33501,3.79571719918423,265
Jaguari,4311106,41964,40299,3.0370789057201,466
Jaguarão,4311007,141915,130289,2.92324433475432,104
Jaquirana,4311122,5983,4553,4.16559926806953,5
Jari,4311130,113397,106517,3.38074078776145,159
Jóia,4311155,222875,216667,3.15312522738849,1015
Júlio de Castilhos,4311205,398016,382200,3.58866500159621,721
Lagoa Bonita do Sul,4311239,7315,6604,3.10630291627469,78
Lagoa Vermelha,4311304,169436,158998,3.63989744059338,480
Lagoa dos Três Cantos,4311270,32997,31501,4.00419473751112,267
Lagoão,4311254,14841,14249,3.04075970977379,50
Lajeado,4311403,2704,2572,3.46630727762803,57
Lajeado do Bugre,4311429,8728,8806,3.19637023593466,223
Lavras do Sul,4311502,64421,58935,2.63773888913754,54
Liberato Salzano,4311601,13059,12901,3.10045662100457,368
Machadinho,4311700,31042,30045,3.61944344054933,418
Manoel Viana,4311759,96396,94278,3.0259010816189,145
Marau,4311809,117174,113349,3.66315483308018,914
Marcelino Ramos,4311908,9995,9904,3.26326194398682,248
Mariano Moro,4312005,947,901,3.3125,25
Marques de Souza,4312054,1112,1094,3.02209944751381,40
Mata,4312104,15448,14851,3.06965688300951,64
Mato Castelhano,4312138,53660,51633,3.73718876664737,288
Mato Leitão,4312153,1520,1490,3.07851239669421,42
Mato Queimado,4312179,14306,14550,3.19008989256742,189
Maximiliano de Almeida,4312203,16681,16179,3.25795408779702,337
Maçambará,4311718,86470,81889,2.99367551363603,47
Minas do Leão,4312252,30477,30031,2.91789739603576,20
Miraguaí,4312302,10052,10653,3.08603707995365,181
Montauri,4312351,13486,13147,3.76596963620739,242
Monte Alegre dos Campos,4312377,13402,12183,3.53335266821346,29
Mormaço,4312427,29335,28189,3.44020014644862,184
Morro Redondo,4312450,4413,3870,2.76428571428571,27
Mostardas,4312500,14771,13451,3.03497292418773,26
Muitos Capões,4312617,147424,135122,3.59233264210135,156
Muliterno,4312625,18067,16361,3.68906426155581,254
Muçum,4312609,2669,2605,3.55388813096862,81
Nicolau Vergueiro,4312674,34069,33882,3.65462193938087,175
Nonoai,4312708,39548,39683,3.61609258246765,222
Nova Alvorada,4312757,18471,17923,3.80369269949066,224
Nova Araçá,4312807,3455,3362,3.96462264150943,54
Nova Bassano,4312906,14461,13894,3.90280898876405,161
Nova Boa Vista,4312955,15903,15346,3.59728082512893,282
Nova Candelária,4313011,6320,6405,2.93538038496792,185
Nova Esperança do Sul,4313037,14357,14463,3.37841625788367,231
Nova Palma,4313102,28915,27863,3.26150064380194,374
Nova Prata,4313300,15080,14417,3.43507267095544,183
Nova Ramada,4313334,66154,64434,3.67333675389088,367
Novo Barreiro,4313490,18039,17991,3.31264960412447,357
Novo Cabrais,4313391,22992,22499,3.1252951798861,112
Novo Hamburgo,4313409,357,324,2.74576271186441,6
Novo Machado,4313425,31334,31889,2.88353377339723,472
Novo Tiradentes,4313441,5602,5414,2.72883064516129,95
Novo Xingu,4313466,13728,13393,3.57528029898558,219
Não-Me-Toque,4312658,96131,90203,4.19900381714924,434
Osório,4313508,4159,3975,2.85560344827586,6
Paim Filho,4313607,16168,15357,3.40963587921847,306
Palmares do Sul,4313656,6569,5962,3.01415571284125,14
Palmeira das Missões,4313706,317178,303013,3.73734844653848,669
Palmitinho,4313805,1267,1261,2.42034548944338,36
Panambi,4313904,103212,97180,3.74792703150912,476
